unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1596333600000,2020-08-02 02:00:00,ETH/USDT,400.24,400.70,395.53,398.15,174181.939,69299392.80573,38932
1596337200000,2020-08-02 03:00:00,ETH/USDT,398.15,409.00,396.27,408.40,288534.150,116178898.52176,59625
1596340800000,2020-08-02 04:00:00,ETH/USDT,408.39,418.49,302.00,373.59,1363253.858,518980107.74505,226551
1596344400000,2020-08-02 05:00:00,ETH/USDT,373.59,385.42,366.00,370.55,640357.584,240962735.04039,127018
1596348000000,2020-08-02 06:00:00,ETH/USDT,370.50,375.53,367.10,373.96,227136.431,84296967.39033,53442
1596351600000,2020-08-02 07:00:00,ETH/USDT,373.87,383.00,371.54,380.40,215984.918,81905704.52263,50190
1596355200000,2020-08-02 08:00:00,ETH/USDT,380.39,382.07,373.35,375.88,186692.442,70789411.66928,42171
1596358800000,2020-08-02 09:00:00,ETH/USDT,375.88,378.79,372.19,378.32,125872.810,47313415.09798,35234
1596362400000,2020-08-02 10:00:00,ETH/USDT,378.34,379.38,370.63,373.24,110613.924,41435414.18804,31143
1596366000000,2020-08-02 11:00:00,ETH/USDT,373.24,374.48,353.01,362.07,494963.562,179336868.28912,94055
1596369600000,2020-08-02 12:00:00,ETH/USDT,362.12,368.37,357.49,359.52,231005.482,83987438.94959,55073
1596373200000,2020-08-02 13:00:00,ETH/USDT,359.53,366.88,359.06,365.55,117203.050,42667154.61823,32198
1596376800000,2020-08-02 14:00:00,ETH/USDT,365.56,372.50,361.42,369.30,155448.615,57162674.09064,40318
1596380400000,2020-08-02 15:00:00,ETH/USDT,369.33,372.04,366.98,368.27,99797.420,36892505.19159,26651
1596384000000,2020-08-02 16:00:00,ETH/USDT,368.30,382.78,368.19,381.93,237508.070,89324723.38839,52564
1596387600000,2020-08-02 17:00:00,ETH/USDT,381.93,389.00,381.78,384.93,334747.024,129156747.04092,68902
1596391200000,2020-08-02 18:00:00,ETH/USDT,384.98,386.83,382.00,385.62,120419.223,46312798.65941,29287
1596394800000,2020-08-02 19:00:00,ETH/USDT,385.64,387.27,371.73,379.54,198905.538,75470667.41545,44514
1596398400000,2020-08-02 20:00:00,ETH/USDT,379.55,380.58,373.10,373.97,126121.441,47590379.38705,34006
1596402000000,2020-08-02 21:00:00,ETH/USDT,373.96,378.64,368.82,377.96,155141.271,58093367.50407,37334
1596405600000,2020-08-02 22:00:00,ETH/USDT,377.92,381.57,372.41,373.75,116314.418,43942370.30890,27682
1596409200000,2020-08-02 23:00:00,ETH/USDT,373.72,376.33,368.26,372.85,108821.627,40553248.23359,27140
1596412800000,2020-08-03 00:00:00,ETH/USDT,372.86,379.93,366.66,378.25,152246.829,57029156.67545,37438
1596416400000,2020-08-03 01:00:00,ETH/USDT,378.31,384.89,378.26,380.18,131718.657,50300320.73760,31682
1596420000000,2020-08-03 02:00:00,ETH/USDT,380.10,386.29,380.00,383.94,85861.749,32917638.18108,23749
1596423600000,2020-08-03 03:00:00,ETH/USDT,383.94,385.22,378.52,380.09,87618.079,33432842.50722,22289
1596427200000,2020-08-03 04:00:00,ETH/USDT,380.17,383.40,380.08,381.54,54667.309,20882234.85061,15384
1596430800000,2020-08-03 05:00:00,ETH/USDT,381.57,385.15,379.64,385.05,60223.280,23025118.49028,17762
1596434400000,2020-08-03 06:00:00,ETH/USDT,385.06,387.30,382.73,384.45,89259.933,34367185.74646,21468
1596438000000,2020-08-03 07:00:00,ETH/USDT,384.44,387.77,383.18,385.05,79210.511,30568024.57255,19413
1596441600000,2020-08-03 08:00:00,ETH/USDT,385.03,386.60,382.07,382.09,82114.679,31561992.09640,22580
1596445200000,2020-08-03 09:00:00,ETH/USDT,382.09,385.00,380.59,380.87,74411.568,28506074.04446,22887
1596448800000,2020-08-03 10:00:00,ETH/USDT,380.85,386.26,380.73,385.95,68513.986,26279961.28196,19979
1596452400000,2020-08-03 11:00:00,ETH/USDT,386.02,393.28,384.05,391.52,241158.419,93875314.74202,54315
1596456000000,2020-08-03 12:00:00,ETH/USDT,391.56,392.00,387.22,390.01,141653.951,55188394.22456,32597
1596459600000,2020-08-03 13:00:00,ETH/USDT,389.95,395.60,389.53,393.70,168184.984,66177117.37348,37144
1596463200000,2020-08-03 14:00:00,ETH/USDT,393.62,398.47,391.91,394.59,240903.630,95302872.31609,50955
1596466800000,2020-08-03 15:00:00,ETH/USDT,394.59,397.37,388.16,394.18,222218.794,87445244.43986,44244
1596470400000,2020-08-03 16:00:00,ETH/USDT,394.15,398.59,389.50,390.90,258594.728,102071002.39586,52954
1596474000000,2020-08-03 17:00:00,ETH/USDT,390.91,396.99,389.17,395.40,117877.037,46412501.62718,28303
1596477600000,2020-08-03 18:00:00,ETH/USDT,395.44,396.50,392.85,395.52,58319.436,23020294.06736,17235
